car,varient,km,fuel,transmission,registration,price,location
2024 Mahindra BOLERO NEO, N10 R,"4,733 km",Diesel,Manual,UP-80,₹10.68 lakh,agra
2024 Honda ELEVATE, ZX CVT,"16,182 km",Petrol,Auto,24-BH,₹11.50 lakh,agra
2010 Hyundai i10, MAGNA 1.1,"1,13,059 km",Petrol,Manual,UP-80,₹0.85 lakh,agra
2017 Hyundai Elite i20, ASTA 1.2,"59,420 km",Petrol,Manual,UP-80,₹4.28 lakh,agra
2021 Tata NEXON, XM PETROL,"61,767 km",Petrol,Manual,UP-84,₹5.81 lakh,agra
2015 Maruti Swift Dzire, VDI,"35,243 km",Diesel,Manual,UP-80,₹3.52 lakh,agra
2012 Maruti Ritz, VDI,"79,915 km",Diesel,Manual,UP-80,₹1.35 lakh,agra
2020 Honda Amaze, 1.5L I-DTEC VX,"92,787 km",Diesel,Manual,UP-80,₹5.20 lakh,agra
2023 Renault TRIBER, RXL MT,"53,091 km",Petrol,Manual,UP-81,₹5.12 lakh,agra
2014 Hyundai Verna, FLUIDIC 1.6 CRDI SX AT,"1,68,894 km",Diesel,Auto,UP-80,₹3.28 lakh,agra
2019 Hyundai Creta, E PLUS 1.4 DIESEL,"1,67,966 km",Diesel,Manual,UP-80,₹6.00 lakh,agra
2022 Skoda KUSHAQ, ACTIVE 1.0L TSI MT,"63,820 km",Petrol,Manual,UP-80,₹7.91 lakh,agra
2011 Mahindra Scorpio, SLE,"1,15,920 km",Diesel,Manual,UP-80,₹2.34 lakh,agra
2013 Maruti Ritz, VDI,"1,60,283 km",Diesel,Manual,UP-80,₹1.48 lakh,agra
2018 Jeep Compass, LIMITED 2.0 DIESEL,"1,28,561 km",Diesel,Manual,UP-80,₹6.50 lakh,agra
2017 Honda WR-V, 1.5L I-DTEC VX MT,"1,12,928 km",Diesel,Manual,UP-14,₹3.87 lakh,agra
2018 Maruti Dzire, VXI AMT,"1,18,492 km",Petrol,Auto,UP-80,₹4.08 lakh,agra
2016 Maruti Swift Dzire, VDI,"1,55,868 km",Diesel,Manual,UP-80,₹3.37 lakh,agra
2018 Honda Amaze, 1.2L I-VTEC V,"54,440 km",Petrol,Manual,RJ-05,₹4.29 lakh,agra
2025 Maruti New Wagon-R, LXI 1.0,307 km,Petrol,Manual,UP-80,₹4.73 lakh,agra
2018 Tata Hexa, XE 4X2 6 STR,"79,013 km",Diesel,Manual,UP-83,₹5.89 lakh,agra
2022 Mahindra XUV700, AX 5 P AT 5 STR,"42,799 km",Petrol,Auto,UP-80,₹14.88 lakh,agra
2022 Tata Tiago, XZ PLUS CNG,"1,38,500 km",Petrol,Manual,UP-12,₹4.80 lakh,agra
2017 Mahindra Scorpio, S10 2WD INTELLI-HYBRID,"1,33,298 km",Diesel,Manual,UP-80,₹7.60 lakh,agra
2019 Maruti Swift, VXI,"48,276 km",Petrol,Manual,UP-80,₹4.69 lakh,agra
2019 Maruti Baleno, DELTA PETROL 1.2,"1,49,377 km",Petrol,Manual,UP-86,₹4.13 lakh,agra
2016 Ford Ecosport, TITANIUM 1.5L DIESEL,"1,64,174 km",Diesel,Manual,UP-80,₹3.03 lakh,agra
2018 Tata NEXON, XZ PLUS DIESEL,"1,29,149 km",Diesel,Manual,UP-80,₹4.85 lakh,agra
2017 Maruti Dzire, ZDI PLUS,"1,03,891 km",Diesel,Manual,UP-80,₹4.27 lakh,agra
2015 Honda City, 1.5L I-VTEC S MT,"1,23,202 km",Petrol,Manual,MH-47,₹3.39 lakh,agra
2015 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"37,273 km",Petrol,Manual,UP-80,₹2.80 lakh,agra
2013 Chevrolet Enjoy, 1.3 LT 7 STR,"1,13,248 km",Diesel,Manual,UP-80,₹1.23 lakh,agra
2015 Mahindra XUV500, W8,"83,523 km",Diesel,Manual,DL-8C,₹4.27 lakh,agra
2022 Honda Amaze, 1.2L I-VTEC VX,"13,048 km",Petrol,Manual,UP-80,₹6.36 lakh,agra
2018 Maruti Celerio, VXI CNG,"1,48,130 km",Petrol,Manual,UP-80,₹2.49 lakh,agra
2024 Tata NEXON, Smart + 1.5,"12,741 km",Diesel,Manual,UP-80,₹9.41 lakh,agra
2022 Maruti Alto K10, VXI,"27,105 km",Petrol,Manual,UP-80,₹3.26 lakh,agra
2018 Hyundai NEW SANTRO, SPORTZ MT,"61,669 km",Petrol,Manual,UP-80,₹3.16 lakh,agra
2024 Hyundai EXTER, S 1.2 MT,"7,037 km",Petrol,Manual,UP-80,₹6.98 lakh,agra
2012 Maruti Swift Dzire, VDI,"1,45,766 km",Diesel,Manual,MH-05,₹3.19 lakh,nashik
2023 Tata PUNCH, CREATIVE  AMT,"29,641 km",Petrol,Auto,MH-15,₹7.80 lakh,nashik
2013 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,32,800 km",Diesel,Manual,MH-05,₹3.03 lakh,nashik
2020 Maruti Dzire, VXI AMT,"94,983 km",Petrol,Auto,MH-15,₹5.89 lakh,nashik
2013 Hyundai i20, SPORTZ 1.2,"71,497 km",Petrol,Manual,MH-15,₹2.89 lakh,nashik
2013 Maruti Swift Dzire, VDI,"1,29,221 km",Diesel,Manual,MH-15,₹3.83 lakh,nashik
2015 Hyundai Verna, FLUIDIC 4S 1.6 VTVT S AT,"98,469 km",Petrol,Auto,MH-02,₹3.34 lakh,nashik
2022 Maruti Eeco, 5 STR AC CNG (O),"56,392 km",Petrol,Manual,MH-15,₹5.94 lakh,nashik
2024 Maruti Grand Vitara, SIGMA SMART HYBRID,"40,044 km",Petrol,Manual,MH-15,₹9.98 lakh,nashik
2015 Maruti Ertiga, ZDI,"1,66,983 km",Diesel,Manual,MH-15,₹6.82 lakh,nashik
2012 Volkswagen Jetta, COMFORTLINE TDI,"1,06,285 km",Diesel,Manual,MH-01,₹2.93 lakh,nashik
2012 Mahindra Verito, 1.5 D6,"1,32,882 km",Diesel,Manual,MH-43,₹1.34 lakh,nashik
2011 Maruti Swift, VDI,"2,20,272 km",Diesel,Manual,MH-05,₹2.08 lakh,nashik
2022 Hyundai NEW I20, SPORTZ 1.2 MT,"14,024 km",Petrol,Manual,MH-15,₹6.97 lakh,nashik
2013 BMW X1, SDRIVE 20D,"1,74,751 km",Diesel,Auto,MH-14,₹5.02 lakh,nashik
2017 Skoda Rapid, AMBITION 1.5 TDI AT,"1,06,459 km",Diesel,Auto,MH-15,₹5.33 lakh,nashik
2012 Mahindra XUV500, W6,"1,13,742 km",Diesel,Manual,MH-14,₹3.28 lakh,nashik
2015 Hyundai i10, ASTA 1.2,"56,037 km",Petrol,Manual,MH-05,₹2.15 lakh,nashik
2017 Honda Amaze, 1.5L I-DTEC S,"1,28,366 km",Diesel,Manual,MH-20,₹2.95 lakh,nashik
2015 BMW 3 Series, 320D GT LUXURY LINE,"1,21,746 km",Diesel,Auto,MH-47,₹10.68 lakh,nashik
2016 Mahindra XUV500, W10,"2,32,407 km",Diesel,Manual,MH-15,₹7.33 lakh,nashik
2017 Mahindra XUV500, W6 1.99,"92,511 km",Diesel,Manual,DL-7C,₹4.51 lakh,nashik
2012 Ford Figo, TITANIUM 1.4 DIESEL,"1,19,269 km",Diesel,Manual,MH-01,₹1.37 lakh,nashik
2015 Datsun Go Plus, T,"48,028 km",Petrol,Manual,MH-12,₹1.66 lakh,nashik
2019 Maruti Baleno, ALPHA DIESEL 1.3,"60,492 km",Diesel,Manual,MH-15,₹5.42 lakh,nashik
2015 Hyundai Creta, S 1.6 PETROL,"89,955 km",Petrol,Manual,MH-43,₹4.55 lakh,nashik
2013 Hyundai i10, MAGNA 1.1 LPG,"1,00,238 km",Petrol,Manual,MH-18,₹1.66 lakh,nashik
2011 Maruti Swift, VDI,"96,745 km",Diesel,Manual,MH-46,₹2.13 lakh,nashik
2015 Ford New Figo, TITANIUM1.5 DIESEL,"1,56,643 km",Diesel,Manual,GJ-15,₹2.28 lakh,nashik
2014 Maruti Wagon R 1.0, LXI CNG,"77,272 km",Petrol,Manual,MH-02,₹2.16 lakh,nashik
2021 Tata TIAGO NRG, XZ MT,"37,205 km",Petrol,Manual,MH-15,₹4.83 lakh,nashik
2012 Maruti Swift, VXI,"75,072 km",Petrol,Manual,MH-04,₹2.48 lakh,nashik
2020 Renault Kwid, RXL,"58,382 km",Petrol,Manual,MH-15,₹2.99 lakh,nashik
2017 Renault Kwid, RXL,"90,151 km",Petrol,Manual,MH-15,₹2.41 lakh,nashik
2011 Tata Manza, AURA ABS QUADRAJET,"69,387 km",Diesel,Manual,MH-02,₹0.85 lakh,nashik
2014 Datsun Go, T,"82,422 km",Petrol,Manual,MH-03,₹1.18 lakh,nashik
2011 Maruti Swift Dzire, VDI,"1,00,927 km",Diesel,Manual,MH-02,₹2.03 lakh,nashik
2011 Maruti Swift Dzire, VDI,"1,01,539 km",Diesel,Manual,MH-05,₹2.20 lakh,nashik
2014 Ford Ecosport, TITANIUM 1.5L DIESEL,"1,30,360 km",Diesel,Manual,MH-18,₹3.14 lakh,nashik
2014 Maruti Wagon R 1.0, VXI,"94,441 km",Petrol,Manual,MH-12,₹2.42 lakh,nashik
2017 Ford Endeavour, TITANIUM 3.2 4X4 AT,"9,99,999 km",Diesel,Auto,MH-14,₹22.83 lakh,nashik
2011 Skoda Superb, ELEGANCE 2.0 TDI CR AT,"91,150 km",Diesel,Auto,MH-04,₹2.65 lakh,nashik
2018 Tata TIGOR, XZ (O) PETROL,"91,280 km",Petrol,Manual,MH-15,₹4.08 lakh,nashik
2020 Volkswagen Polo, TRENDLINE 1.0L,"62,975 km",Petrol,Manual,MH-12,₹4.50 lakh,nashik
2011 Hyundai i20, ASTA 1.4 CRDI,"1,31,370 km",Diesel,Manual,MH-15,₹2.08 lakh,nashik
2014 Honda Amaze, 1.5L I-DTEC EX,"1,02,875 km",Diesel,Manual,MH-46,₹3.19 lakh,nashik
2023 Tata TIGOR, XZ PLUS PETROL,"10,702 km",Petrol,Manual,MH-15,₹6.78 lakh,nashik
2020 Maruti Baleno, SIGMA PETROL 1.2,"1,26,745 km",Petrol,Manual,MH-41,₹4.24 lakh,nashik
2015 Skoda Rapid, 1.5 TDI CR AMBITION WITH ALLOY,"94,872 km",Diesel,Manual,MH-15,₹3.21 lakh,nashik
2015 Hyundai Grand i10, ASTA 1.2 KAPPA VTVT,"50,859 km",Petrol,Manual,MH-14,₹3.17 lakh,nashik
2016 Hyundai Elite i20, MAGNA 1.4 CRDI,"1,18,922 km",Diesel,Manual,MH-18,₹4.44 lakh,nashik
2021 Maruti S PRESSO, VXI+,"49,900 km",Petrol,Manual,MH-15,₹3.87 lakh,nashik
2020 Tata NEXON, XZ PLUS SUNROOF PETROL DUAL TONE,"63,315 km",Petrol,Manual,MH-04,₹7.00 lakh,nashik
2022 Tata TIGOR, XZ PLUS CNG,"39,906 km",Petrol,Manual,MH-12,₹6.40 lakh,nashik
2016 Hyundai Creta, SX (O) 1.6 DIESEL,"1,11,631 km",Diesel,Manual,MH-04,₹7.36 lakh,nashik
2016 Honda Amaze, 1.5L I-DTEC E,"1,23,070 km",Diesel,Manual,RJ-14,₹3.05 lakh,nashik
2013 Mahindra XUV500, W8,"1,61,209 km",Diesel,Manual,MH-01,₹2.98 lakh,nashik
2017 Jeep Compass, LIMITED (O) 2.0 DIESEL,"98,643 km",Diesel,Manual,MH-15,₹9.41 lakh,nashik
2020 Maruti Ertiga, VXI CNG,"70,269 km",Petrol,Manual,MH-06,₹8.83 lakh,nashik
2016 Mahindra XUV500, W10,"96,105 km",Diesel,Manual,MH-15,₹7.16 lakh,nashik
2022 Toyota Innova Crysta, 2.7 ZX AT 7 STR,"36,120 km",Petrol,Auto,MH-15,₹18.00 lakh,nashik
2022 Toyota URBAN CRUISER, HIGH GRADE MT,"52,048 km",Petrol,Manual,MH-15,₹7.50 lakh,nashik
2014 Hyundai Elite i20, SPORTZ 1.2,"1,14,397 km",Petrol,Manual,MH-12,₹3.65 lakh,nashik
2022 Toyota Glanza, G E-CNG,"80,000 km",Petrol,Manual,MH-15,₹7.60 lakh,nashik
2015 Maruti Ciaz, ZDI SHVS,"92,292 km",Diesel,Manual,MH-04,₹4.80 lakh,nashik
2021 Mahindra XUV700, AX 7 P AT 7 STR,"50,632 km",Petrol,Auto,MH-15,₹13.50 lakh,nashik
2022 Renault Kiger, RXZ MT,"39,909 km",Petrol,Manual,MH-15,₹5.50 lakh,nashik
2013 Audi A4, 2.0 TDI PREMIUM PLUS,"96,700 km",Diesel,Auto,MH-01,₹6.72 lakh,nashik
2023 Tata NEXON, FEARLESS DUAL TONE 1.5 DIESEL,"55,570 km",Diesel,Manual,MH-17,₹12.18 lakh,nashik
2022 Maruti Dzire, ZXI CNG,"82,984 km",Petrol,Manual,MH-17,₹7.00 lakh,nashik
2021 Hyundai VENUE, SX 1.5 (O) EXECUTIVE CRDI,"1,14,503 km",Diesel,Manual,MH-15,₹8.88 lakh,nashik
2022 Tata NEXON, XZ PLUS DIESEL DARK EDITION,"1,90,015 km",Diesel,Manual,MH-15,₹10.85 lakh,nashik
2015 Ford Ecosport, TITANIUM 1.5L DIESEL,"1,08,806 km",Diesel,Manual,MH-03,₹4.30 lakh,nashik
2019 Jeep Compass, LIMITED PLUS DIESEL 4X4,"1,91,746 km",Diesel,Manual,MH-19,₹11.50 lakh,nashik
2015 Skoda Octavia, ELEGANCE 2.0 TDI AT,"1,58,887 km",Diesel,Auto,MH-02,₹6.51 lakh,nashik
2021 KIA SONET, GTX PLUS 1.5,"1,60,852 km",Diesel,Manual,MH-15,₹9.00 lakh,nashik
2023 Skoda KUSHAQ, STYLE 1.0L TSI MT,"62,950 km",Petrol,Manual,MH-15,₹10.50 lakh,nashik
2022 CITROEN C3, FEEL 1.2 DUAL TONE,"25,495 km",Petrol,Manual,MH-15,₹5.00 lakh,nashik
2017 Toyota Fortuner, 2.8 4X4 MT,"3,75,423 km",Diesel,Manual,MH-15,₹21.50 lakh,nashik
2024 Tata Tiago, XT (O) PETROL,"46,321 km",Petrol,Manual,MH-15,₹5.00 lakh,nashik
2017 Ford Endeavour, TITANIUM 3.2 4X4 AT,"1,18,227 km",Diesel,Auto,MH-15,₹22.22 lakh,nashik
2016 Audi Q3, 35 TDI Quattro,"54,771 km",Diesel,Auto,MH-21,₹13.99 lakh,nashik
2020 MG HECTOR, SMART 2.0 DIESEL,"1,68,469 km",Diesel,Manual,MH-15,₹13.30 lakh,nashik
2022 Hyundai Creta, E 1.5 DIESEL,"43,168 km",Diesel,Manual,MH-15,₹10.51 lakh,nashik
2015 Chevrolet Cruze, LTZ AT,"86,274 km",Diesel,Auto,MH-06,₹4.74 lakh,nashik
2023 Toyota Fortuner, 4X2 AT 2.8 LEGENDER,"93,589 km",Diesel,Auto,MH-17,₹48.31 lakh,nashik
2022 KIA SELTOS, HTK PLUS AT 1.5 DIESEL,"37,131 km",Diesel,Auto,MH-15,₹13.64 lakh,nashik
2018 Maruti Vitara Brezza, ZDI,"7,774 km",Diesel,Manual,MH-05,₹7.63 lakh,nashik
2017 Tata Hexa, XTA 4X2 7 STR,"2,72,583 km",Diesel,Auto,MH-15,₹7.00 lakh,nashik
2017 Skoda Kodiaq, STYLE 2.0 TDI 4X4 AT,"1,08,127 km",Diesel,Auto,MH-48,₹16.44 lakh,nashik
2013 Toyota Fortuner, 3.0 4X2 AT,"1,48,394 km",Diesel,Auto,MH-04,₹10.87 lakh,nashik
2020 KIA SELTOS, GTX PLUS AT 1.5 DIESEL,"92,197 km",Diesel,Auto,MH-15,₹13.71 lakh,nashik
2014 Audi Q7, 3.0 TDI QUATTRO,"66,849 km",Diesel,Auto,MH-14,₹16.44 lakh,nashik
2015 Toyota Etios Liva, GD,"1,07,593 km",Diesel,Manual,MH-43,₹3.00 lakh,nashik
2014 Maruti Ertiga, VXI CNG,"1,62,250 km",Petrol,Manual,MH-03,₹3.89 lakh,nashik
2020 Hyundai Elite i20, SPORTZ PLUS 1.2,"90,573 km",Petrol,Manual,MH-19,₹5.59 lakh,nashik
2025 Mahindra XUV 3XO, AX5 1.5 Turbo Diesel,"22,573 km",Diesel,Manual,MH-12,₹10.68 lakh,nashik
2020 Renault Kwid, RXL,"7,206 km",Petrol,Manual,MH-15,₹3.56 lakh,nashik
2017 Maruti Wagon R 1.0, VXI,"68,458 km",Petrol,Manual,MH-12,₹2.33 lakh,nashik
2015 Volkswagen Jetta, COMFORTLINE TSI,"89,946 km",Petrol,Manual,MH-01,₹3.68 lakh,nashik
2017 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"48,174 km",Petrol,Manual,CH-01,₹3.26 lakh,chandigarh
2022 Tata NEXON, XE PETROL,"35,790 km",CNG,Manual,HR-05,₹5.60 lakh,chandigarh
2021 Renault TRIBER, RXZ,"33,102 km",Petrol,Manual,PB-02,₹4.58 lakh,chandigarh
2019 Tata Tiago, XZ PLUS PETROL,"63,290 km",CNG,Manual,CH-01,₹3.60 lakh,chandigarh
2021 Maruti New Wagon-R, LXI 1.0,"80,358 km",Petrol,Manual,CH-01,₹2.92 lakh,chandigarh
2023 Tata ALTROZ, XZA,"14,383 km",Petrol,Auto,CH-01,₹7.50 lakh,chandigarh
2019 Volkswagen Polo, TRENDLINE 1.0L,"75,489 km",Petrol,Manual,PB-02,₹3.41 lakh,chandigarh
2022 Skoda KUSHAQ, STYLE 1.0L TSI AT,"19,005 km",Petrol,Auto,PB-65,₹9.50 lakh,chandigarh
2018 Honda Amaze, 1.2L I-VTEC V,"24,633 km",Petrol,Manual,PB-65,₹4.58 lakh,chandigarh
2014 Maruti Swift Dzire, VXI,"89,040 km",Petrol,Manual,HR-51,₹2.10 lakh,chandigarh
2016 Ford Figo Aspire, TITANIUM1.5 DIESEL,"48,080 km",Diesel,Manual,HR-51,₹2.55 lakh,chandigarh
2019 Hyundai NEW SANTRO, ERA,"70,997 km",Petrol,Manual,HR-03,₹2.50 lakh,chandigarh
2019 Maruti Swift, VXI AMT,"39,948 km",Petrol,Auto,CH-01,₹4.51 lakh,chandigarh
2023 Hyundai Verna, EX 1.5 MT,"68,293 km",Petrol,Manual,PB-23,₹8.03 lakh,chandigarh
2021 Mahindra BOLERO NEO, N 10,"30,998 km",Diesel,Manual,PB-08,₹6.37 lakh,chandigarh
2017 Tata Tiago, XM PETROL,"55,754 km",Petrol,Manual,HR-03,₹2.61 lakh,chandigarh
2018 Jeep Compass, LIMITED 1.4 PETROL AT,"55,190 km",Petrol,Auto,PB-91,₹7.50 lakh,chandigarh
2022 Maruti Alto K10, VXI PLUS,"38,696 km",Petrol,Manual,PB-65,₹3.09 lakh,chandigarh
2019 Tata NEXON, XM PETROL,"99,183 km",Petrol,Manual,CH-01,₹3.71 lakh,chandigarh
2014 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"98,870 km",Petrol,Manual,CH-01,₹2.24 lakh,chandigarh
2017 Hyundai Elite i20, SPORTZ 1.2,"64,792 km",Petrol,Manual,HR-01,₹4.51 lakh,chandigarh
2017 Honda WR-V, 1.2L I-VTEC VX MT,"71,364 km",Petrol,Manual,CH-01,₹4.50 lakh,chandigarh
2019 Maruti Baleno, ALPHA PETROL 1.2,"42,922 km",Petrol,Manual,CH-01,₹4.84 lakh,chandigarh
2022 Skoda SLAVIA, STYLE 1.5L TSI DSG,"24,801 km",Petrol,Auto,HR-26,₹13.48 lakh,chandigarh
2016 Hyundai Elite i20, SPORTZ 1.4 CRDI,"1,46,639 km",Diesel,Manual,UP-15,₹3.52 lakh,chandigarh
2022 Volkswagen VIRTUS, GT PLUS TSI 1.5 EVO DSG,"27,026 km",Petrol,Auto,HR-34,₹14.15 lakh,chandigarh
2021 Hyundai Verna, SX 1.5 CRDI,"1,28,154 km",Diesel,Manual,HR-08,₹8.53 lakh,chandigarh
2017 Toyota Innova Crysta, 2.8 ZX AT 7 STR,"97,580 km",Diesel,Auto,HP-52,₹13.23 lakh,chandigarh
2018 Hyundai Creta, SX AT 1.6 PETROL,"72,000 km",Petrol,Auto,HR-01,₹7.74 lakh,chandigarh
2023 Hyundai Creta, SX 1.5 PETROL,"23,938 km",Petrol,Manual,HR-85,₹11.55 lakh,chandigarh
2014 Honda City, 1.5L I-DTEC SV,"1,28,312 km",Diesel,Manual,PB-06,₹2.22 lakh,chandigarh
2013 Maruti Alto K10, VXI,"1,10,187 km",Petrol,Manual,UK-07,₹1.94 lakh,chandigarh
2013 Maruti Alto K10, VXI,"91,916 km",Petrol,Manual,HR-01,₹1.81 lakh,chandigarh
2022 KIA SONET, HTX ANNIVERSARY EDITION 1.5,"1,00,383 km",Diesel,Manual,CH-01,₹8.83 lakh,chandigarh
2013 Maruti Alto 800, LXI,"65,814 km",Petrol,Manual,HR-01,₹1.52 lakh,chandigarh
2013 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,36,906 km",Diesel,Manual,HR-13,₹2.00 lakh,chandigarh
2021 Maruti Alto, LXI OPT CNG,"2,01,489 km",Petrol,Manual,HR-01,₹3.40 lakh,chandigarh
2015 Volkswagen Vento, HIGHLINE DIESEL 1.5,"1,55,704 km",Diesel,Manual,PB-65,₹2.78 lakh,chandigarh
2012 Hyundai i20, MAGNA 1.4 CRDI,"1,09,007 km",Diesel,Manual,CH-01,₹2.16 lakh,chandigarh
2017 Maruti S Cross, ZETA 1.3,"3,01,282 km",Diesel,Manual,CH-01,₹3.20 lakh,chandigarh
2012 Hyundai i20, MAGNA (O) 1.2,"1,97,989 km",Diesel,Manual,PB-13,₹1.87 lakh,chandigarh
2019 Hyundai i20 Active, 1.2 SX,"27,350 km",Petrol,Manual,JH-01,₹5.26 lakh,chandigarh
2016 Volkswagen Polo, COMFORTLINE 1.2L,"76,500 km",Petrol,Manual,HR-01,₹3.00 lakh,chandigarh
2014 Maruti Swift Dzire, VDI,"1,88,178 km",Diesel,Manual,HR-17,₹2.85 lakh,chandigarh
2014 Maruti Alto 800, STD,"38,162 km",Petrol,Manual,UK-01,₹1.43 lakh,chandigarh
2013 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,28,893 km",Diesel,Manual,CH-01,₹2.94 lakh,chandigarh
2016 Maruti Ciaz, VXI+,"1,21,095 km",Petrol,Manual,DL-8C,₹3.45 lakh,chandigarh
2013 Maruti Swift Dzire, ZDI,"1,56,358 km",Diesel,Manual,HR-31,₹2.90 lakh,chandigarh
2011 Maruti Swift, VDI,"1,58,918 km",Diesel,Manual,CH-01,₹1.20 lakh,chandigarh
2018 Volkswagen Polo, TRENDLINE 1.5L,"76,471 km",Diesel,Manual,HR-11,₹3.56 lakh,chandigarh
2014 Honda Amaze, 1.5L I-DTEC S,"1,16,670 km",Diesel,Manual,CH-01,₹2.26 lakh,chandigarh
2020 Maruti Alto, LXI,"67,071 km",Petrol,Manual,HR-05,₹2.73 lakh,chandigarh
2010 Maruti Alto K10, VXI,"1,02,845 km",Petrol,Manual,HR-29,₹0.83 lakh,chandigarh
2018 Renault Kwid, CLIMBER 1.0,"61,881 km",Petrol,Manual,HR-85,₹1.92 lakh,chandigarh
2016 Maruti Baleno, SIGMA PETROL 1.2,"1,03,008 km",Petrol,Manual,HR-78,₹2.79 lakh,chandigarh
2015 Hyundai Verna, FLUIDIC 1.6 VTVT S O AT,"87,605 km",Petrol,Auto,UP-33,₹3.37 lakh,chandigarh
2014 Ford Ecosport, TITANIUM 1.5L DIESEL,"1,10,899 km",Diesel,Manual,HR-09,₹2.25 lakh,chandigarh
2020 Hyundai Elite i20, SPORTZ PLUS 1.2,"27,327 km",Petrol,Manual,HR-05,₹5.33 lakh,chandigarh
2019 Maruti IGNIS, ZETA 1.2,"44,861 km",Petrol,Manual,HR-01,₹3.54 lakh,chandigarh
2024 Maruti Grand Vitara, SIGMA SMART HYBRID,"40,592 km",Petrol,Manual,CH-01,₹8.91 lakh,chandigarh
2011 Volkswagen Polo, TRENDLINE 1.2L PETROL,"61,694 km",Petrol,Manual,HP-33,₹1.45 lakh,chandigarh
2011 Maruti Swift, ZDI,"1,35,441 km",Diesel,Manual,HR-26,₹1.86 lakh,chandigarh
2017 Ford Endeavour, TITANIUM 3.2 4X4 AT,"1,53,568 km",Diesel,Auto,HR-26,₹15.50 lakh,chandigarh
2015 Maruti Celerio, VXI,"1,66,314 km",Petrol,Manual,HR-82,₹2.00 lakh,chandigarh
2022 Tata Harrier, XTA 2.0L KRYOTEC PLUS,"1,84,720 km",Diesel,Auto,CH-01,₹14.37 lakh,chandigarh
2022 KIA CARENS, LUXURY PLUS 1.5 DIESEL AT 7 STR,"1,09,320 km",Diesel,Auto,HR-03,₹13.00 lakh,chandigarh
2017 Mahindra XUV500, W10,"1,66,578 km",Diesel,Manual,CH-01,₹7.00 lakh,chandigarh
2013 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,57,439 km",Diesel,Manual,HR-10,₹2.68 lakh,chandigarh
2019 Volkswagen Polo, COMFORTLINE 1.0L MPI,"70,545 km",Petrol,Manual,HR-02,₹4.02 lakh,chandigarh
2015 Ford New Figo, AMBIENTE 1.5 DIESEL,"1,53,934 km",Diesel,Manual,HR-03,₹1.74 lakh,chandigarh
2018 Honda City, 1.5L I-VTEC V MT,"65,759 km",Petrol,Manual,DL-10,₹5.28 lakh,chandigarh
2017 Mahindra XUV500, W6,"33,560 km",Diesel,Manual,HR-01,₹4.71 lakh,chandigarh
2015 Maruti Ciaz, ZXI+ RS,"1,04,530 km",Petrol,Manual,PB-65,₹3.19 lakh,chandigarh
2020 Renault Kwid, CLIMBER 1.0 AMT (O),"22,100 km",Petrol,Auto,UP-16,₹2.90 lakh,chandigarh
2015 Hyundai Xcent, SX 1.1 CRDI,"1,30,050 km",Diesel,Manual,HR-10,₹1.94 lakh,chandigarh
2023 Tata PUNCH, ADVENTURE MT,"61,450 km",Petrol,Manual,PB-11,₹5.50 lakh,chandigarh
2019 Tata NEXON, XM PETROL,"54,775 km",Petrol,Manual,HR-72,₹4.69 lakh,chandigarh
2014 Hyundai i20, ASTA 1.2,"1,28,091 km",Petrol,Manual,HP-37,₹2.23 lakh,chandigarh
2011 Hyundai i20, SPORTZ 1.2,"96,981 km",Petrol,Manual,DL-8C,₹1.09 lakh,chandigarh
2020 Maruti Vitara Brezza, LXI,"1,06,147 km",Petrol,Manual,CH-01,₹5.80 lakh,chandigarh
2016 Maruti Baleno, DELTA PETROL 1.2,"96,682 km",Petrol,Manual,PB-65,₹3.27 lakh,chandigarh
2024 Hyundai Creta, E 1.5 PETROL,"48,000 km",Petrol,Manual,HR-01,₹10.24 lakh,chandigarh
2016 Maruti Swift, ZXI,"61,286 km",Petrol,Manual,HR-16,₹3.50 lakh,chandigarh
2022 Tata Harrier, XT PLUS 2.0L KRYOTEC,"64,951 km",Diesel,Manual,HR-85,₹14.46 lakh,chandigarh
2017 Tata NEXON, XZ PLUS PETROL,"1,36,337 km",Petrol,Manual,PB-65,₹4.98 lakh,chandigarh
2017 Mahindra XUV500, W10,"1,47,846 km",Diesel,Manual,HR-51,₹6.13 lakh,chandigarh
2016 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"63,868 km",Petrol,Manual,HR-25,₹2.58 lakh,chandigarh
2017 Maruti IGNIS, DELTA 1.2,"85,005 km",Petrol,Manual,HR-03,₹3.00 lakh,chandigarh
2022 Tata ALTROZ, XZA PLUS,"22,000 km",Petrol,Auto,HR-01,₹6.50 lakh,chandigarh
2018 Mahindra XUV500, W6 AT 1.99,"88,719 km",Diesel,Auto,HR-26,₹5.51 lakh,chandigarh
2023 KIA SELTOS, HTE 1.5D IMT,"33,383 km",Diesel,Manual,CH-01,₹9.56 lakh,chandigarh
2017 Tata Zest, XM 90PS DIESEL,"1,52,515 km",Diesel,Manual,HR-03,₹2.47 lakh,chandigarh
