car,varient,km,fuel,transmission,registration,price,location
2011 Maruti Ritz, VDI,"1,79,458 km",Diesel,Manual,MH-31,₹1.35 lakh,nagpur
2014 Hyundai Eon, MAGNA +,"53,016 km",Petrol,Manual,MH-31,₹1.80 lakh,nagpur
2012 Hyundai i10, ERA 1.1,"78,744 km",Petrol,Manual,MH-34,₹2.00 lakh,nagpur
2014 Hyundai Eon, ERA +,"62,926 km",Petrol,Manual,MH-04,₹1.45 lakh,nagpur
2013 Maruti Wagon R 1.0, VXI,"62,900 km",Petrol,Manual,MH-43,₹2.13 lakh,nagpur
2011 Fiat Linea, DYNAMIC 1.3,"71,123 km",Diesel,Manual,MH-31,₹0.99 lakh,nagpur
2012 Maruti Alto K10, VXI,"58,855 km",Petrol,Manual,MH-02,₹1.10 lakh,nagpur
2013 Ford Figo, ZXI 1.2 PETROL,"74,600 km",Petrol,Manual,MH-04,₹1.55 lakh,nagpur
2011 Maruti Ritz, VDI,"1,59,007 km",Diesel,Manual,MH-31,₹1.57 lakh,nagpur
2013 Maruti Wagon R 1.0, VXI,"66,521 km",Petrol,Manual,MH-49,₹2.73 lakh,nagpur
2015 Hyundai Elite i20, SPORTZ 1.4 (O) CRDI,"1,06,657 km",Diesel,Manual,MH-49,₹3.49 lakh,nagpur
2013 Maruti Swift Dzire, ZXI,"1,65,343 km",Petrol,Manual,MH-31,₹2.70 lakh,nagpur
2018 Mahindra Bolero, EX AC BS IV,"1,89,095 km",Diesel,Manual,UP-81,₹2.07 lakh,nagpur
2015 Hyundai Creta, SX 1.6 DIESEL,"1,28,764 km",Diesel,Manual,MH-31,₹6.00 lakh,nagpur
2013 Toyota Etios, GD,"1,31,857 km",Diesel,Manual,MH-28,₹2.50 lakh,nagpur
2012 Hyundai i20, SPORTZ 1.4 CRDI,"1,04,967 km",Diesel,Manual,MH-31,₹2.10 lakh,nagpur
2013 Maruti Ertiga, VXI,"98,880 km",Petrol,Manual,MH-20,₹3.37 lakh,nagpur
2012 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,55,628 km",Diesel,Manual,MH-40,₹2.83 lakh,nagpur
2016 Maruti Swift, VXI,"61,060 km",Petrol,Manual,MH-49,₹3.65 lakh,nagpur
2012 Honda Brio, S MT,"44,647 km",Petrol,Manual,MH-09,₹1.50 lakh,nagpur
2013 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"1,02,812 km",Petrol,Manual,MH-03,₹1.90 lakh,nagpur
2014 Hyundai Xcent, S 1.2,"88,745 km",Petrol,Manual,MH-03,₹2.00 lakh,nagpur
2014 Mercedes Benz GLA Class, 200 CDI SPORT,"76,705 km",Diesel,Auto,MH-46,₹12.30 lakh,nagpur
2011 Volkswagen Vento, TRENDLINE DIESEL 1.6,"1,91,005 km",Diesel,Manual,MH-02,₹1.55 lakh,nagpur
2017 Hyundai i20 Active, 1.2 S,"86,426 km",Petrol,Manual,MH-40,₹4.04 lakh,nagpur
2015 Ford Figo, TITANIUM 1.2 PETROL,"47,818 km",Petrol,Manual,KA-05,₹2.60 lakh,nagpur
2016 Maruti Ritz, VXI,"72,221 km",Petrol,Manual,MH-43,₹2.60 lakh,nagpur
2015 Volkswagen Polo, GT TSI AT,"1,25,153 km",Petrol,Auto,MH-40,₹3.60 lakh,nagpur
2010 Maruti Alto, LXI,"15,257 km",Petrol,Manual,MH-31,₹1.52 lakh,nagpur
2014 Fiat Linea, CLASSIC 1.4 L,"54,827 km",Petrol,Manual,MH-03,₹1.38 lakh,nagpur
2014 Toyota Innova, 2.5 ZX 7 STR,"11,72,552 km",Diesel,Manual,MH-15,₹6.34 lakh,nagpur
2017 Hyundai Elite i20, SPORTZ 1.2,"39,299 km",Petrol,Manual,MH-49,₹4.25 lakh,nagpur
2015 Maruti Celerio, VXI,"1,06,643 km",Petrol,Manual,MH-37,₹2.40 lakh,nagpur
2016 Tata Indica EV2, LS,"50,899 km",Diesel,Manual,MH-49,₹1.42 lakh,nagpur
2020 Maruti Vitara Brezza, LXI,"34,641 km",Petrol,Manual,MH-14,₹6.86 lakh,nagpur
2014 Honda City, 1.5L I-VTEC VX,"1,38,307 km",Petrol,Manual,MH-49,₹3.50 lakh,nagpur
2017 Maruti Celerio, VXI AMT (O),"53,113 km",Petrol,Auto,MH-49,₹3.38 lakh,nagpur
2014 Maruti Swift Dzire, VDI,"1,02,268 km",Diesel,Manual,MH-49,₹3.62 lakh,nagpur
2013 Ford Figo, TITANIUM 1.4 DIESEL,"1,61,465 km",Diesel,Manual,MH-31,₹1.54 lakh,nagpur
2012 Maruti Swift, VDI,"2,12,113 km",Diesel,Manual,MH-31,₹2.45 lakh,nagpur
2012 BMW X1, sDrive20d,"1,61,764 km",Diesel,Auto,HR-26,₹3.10 lakh,nagpur
2013 Mahindra XUV500, W8,"98,377 km",Diesel,Manual,MH-43,₹3.00 lakh,nagpur
2014 Fiat Linea, DYNAMIC T JET,"88,190 km",Petrol,Manual,MH-49,₹1.51 lakh,nagpur
2013 Honda Amaze, 1.5L I-DTEC S,"1,10,593 km",Diesel,Manual,MH-43,₹2.19 lakh,nagpur
2023 Tata PUNCH, ADVENTURE MT,"36,675 km",Petrol,Manual,MH-32,₹6.17 lakh,nagpur
2010 Maruti Ritz, VXI,"65,057 km",Petrol,Manual,MH-04,₹1.40 lakh,nagpur
2010 Honda Civic, 1.8L I-VTEC V MT,"71,130 km",Petrol,Manual,MH-01,₹1.50 lakh,nagpur
2012 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"1,36,100 km",Diesel,Manual,MH-31,₹2.50 lakh,nagpur
2018 Toyota Fortuner, 2.8 4X2 MT,"1,71,198 km",Diesel,Manual,UP-70,₹23.94 lakh,nagpur
